('hosup_res/problems/sh-no-bools/FFT/prob_278__3228110_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_279__3228214_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_280__3228318_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_281__3228396_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_291__3228550_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_296__3228592_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_303__3228622_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_304__3228666_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_306__3228686_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_307__3228720_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_308__3228730_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_309__3228740_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_30__3224458_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_310__3228766_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_311__3228792_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_31__3224474_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_320__3228888_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_325__3228952_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_331__3229060_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_333__3229162_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_334__3229204_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_335__3229246_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_336__3229330_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_33__3224490_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_347__3229478_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_352__3229534_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_359__3229564_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_360__3229594_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_362__3229614_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_363__3229630_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_364__3229658_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_365__3229668_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_366__3229678_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_367__3229688_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_368__3229698_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_381__3229830_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_382__3229836_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_384__3229844_1', 'THM')
('hosup_res/problems/sh-no-bools/FFT/prob_385__3229868_1', 'TO')
('hosup_res/problems/sh-no-bools/FFT/prob_391__3229944_1', 'TO')
